wl;a1_p;a2_p;a3_p;a4_p;a5_p;a6_p;a7_p;a8_p;a9_p;a1_nap;a2_nap;a3_nap;a4_nap;a5_nap;a6_nap;a7_nap;a8_nap;a9_nap;a1_phy;a2_phy;a3_phy;a4_phy;a5_phy;a6_phy;a7_phy;a8_phy;a9_phy
535;0.351776068808832;0.306279666245471;0.19998488883476;0.168973757234195;0.482071504634676;0.544313464465287;0.258115955715475;0.33602463601694;0.27943035923779;0.234907563120312;0.187180507871073;0.125212606734219;0.108682345821528;0.238698052142331;0.264755008855358;0.152131356414631;0.130013995003122;0.129957505016005;0.11686850568852;0.119099158374398;0.0747722821005405;0.0602914114126665;0.243373452492345;0.27955845560993;0.105984599300844;0.206010641013818;0.149472854221785
534;0.353522584067777;0.307832228025507;0.201363723146725;0.170155280909041;0.483570346565313;0.544859693246787;0.260271989340359;0.336290428993808;0.280034525520302;0.236849811407832;0.18873722095602;0.126271905250441;0.10950421972171;0.240732422860403;0.266583816708009;0.153182502690677;0.130806583947382;0.131215416194735;0.116672772659945;0.119095007069487;0.0750918178962839;0.0606510611873312;0.24283792370491;0.278275876538778;0.107089486649682;0.205483845046426;0.148819109325567
533;0.355507050008144;0.309659311784188;0.203105045044208;0.171606902795156;0.485281803128912;0.545492430194139;0.261913245197764;0.336791539461905;0.280768224444949;0.239012006225467;0.190267006366536;0.127090165498713;0.110544778591805;0.242749503651256;0.26868026774366;0.154280423249277;0.132192659037175;0.132279701514434;0.116495043782676;0.119392305417653;0.0760148795454955;0.0610621242033515;0.242532299477656;0.276812162450479;0.107632821948488;0.204598880424731;0.148488522930515
532;0.357752812770887;0.311669502523781;0.204908656528375;0.173069792853788;0.487882650108517;0.546017060595819;0.263765416742969;0.33685106763944;0.282326020769774;0.241001122586283;0.192081640775429;0.128293825725997;0.111343694886015;0.243980256711872;0.270422711792639;0.155679404739365;0.13301059248699;0.132825105810529;0.116751690184605;0.119587861748353;0.0766148308023784;0.0617260979677728;0.243902393396645;0.275594348803181;0.108086012003604;0.203840475152449;0.149500914959246
531;0.359662492000257;0.313454702571339;0.206575495942764;0.174414577835418;0.490084570099318;0.546556462095356;0.265788176036123;0.337048711130775;0.282875934183436;0.243041038601899;0.19365431239279;0.129972590238182;0.112452543538695;0.246038688331766;0.272501687006921;0.156948559856238;0.134378238224055;0.135067682343703;0.116621453398358;0.119800390178549;0.0766029057045823;0.0619620342967233;0.244045881767552;0.274054775088436;0.108839616179885;0.202670472906719;0.147808251839733
530;0.361512905736674;0.315293265009326;0.208313310626;0.175600763781215;0.492935738542231;0.548021089213077;0.268036206274847;0.338176581277863;0.284237949281895;0.245184079055514;0.195529212423227;0.130699173709572;0.11341688492318;0.249346625751192;0.276094065525398;0.159039230361916;0.13587143888803;0.135703126789425;0.116328826681161;0.119764052586099;0.0776141369164279;0.0621838788580346;0.243589112791039;0.271927023687679;0.108996975912931;0.202305142389832;0.148534822492469
529;0.364261874415254;0.317604237694989;0.210191933716395;0.177135033217742;0.495456489412886;0.548995915349962;0.270004228622421;0.338780573576461;0.285185511700149;0.246976202253391;0.197031379659142;0.131671221478639;0.114230550165035;0.251303446866548;0.27727649342488;0.159856475271265;0.136487631024787;0.13657502719998;0.117285672161863;0.120572858035848;0.0785207122377568;0.062904483052707;0.244153042546338;0.271719421925083;0.110147753351156;0.202292942551674;0.148610484500169
528;0.366208277760948;0.319423171370647;0.211744762189954;0.178534190324713;0.497482728585192;0.549968702241224;0.271874993281944;0.339748389560311;0.286669221927395;0.249399444596303;0.199098199323628;0.133228832410339;0.115527135671753;0.254055846647765;0.280168605903561;0.161664909257939;0.138090739283555;0.138396768761779;0.116808833164645;0.120324972047019;0.0785159297796158;0.0630070546529595;0.243426881937428;0.269800096337663;0.110210084024005;0.201657650276756;0.148272453165616
527;0.368937697989035;0.321764894701072;0.21377425677471;0.180010486205683;0.500982273304494;0.551950628744117;0.27406856096694;0.340638880166643;0.28819764882606;0.251670228028666;0.20119691547947;0.134382907649432;0.116635179872099;0.256092143806416;0.282307391598202;0.162687983882119;0.139456360024667;0.140308798771228;0.11726746996037;0.120567979221601;0.0793913491252782;0.0633753063335835;0.244890129498078;0.269643237145915;0.111380577084821;0.201182520141975;0.147888850054832
526;0.371116112600747;0.323999070739338;0.215702593668796;0.181599496543269;0.504283034967967;0.554560559174623;0.276398224400213;0.342073363786441;0.289764252312609;0.253541483227148;0.202811625747135;0.135598717617796;0.117661517234717;0.258705094335439;0.284769301109482;0.164399006512008;0.1404882266304;0.141036615311971;0.117574629373599;0.121187444992203;0.0801038760509998;0.0639379793085521;0.245577940632528;0.269791258065141;0.111999217888205;0.201585137156041;0.148727637000638
