B7;B8;B9;B10;B11;B12;C4;C5;C6;C7;C8;C9;F7;F8;F9;Wavel.
0,067500003;0,066699997;0,070100002;0,063299999;0,064999998;0,0634;0,076300003;0,077500001;0,070100002;0,0612;0,059099998;0,058699999;0,061000001;0,056000002;0,050799999;516
0,068400003;0,0678;0,071199998;0,064400002;0,066399999;0,0647;0,077399999;0,078500003;0,071099997;0,0616;0,059500001;0,059;0,060699999;0,055799998;0,050700001;518
0,069600001;0,068899997;0,072499998;0,0656;0,068099998;0,066399999;0,078599997;0,079800002;0,072400004;0,062100001;0,059900001;0,0594;0,060600001;0,0557;0,0506;520
0,070799999;0,070200004;0,073700003;0,0669;0,069799997;0,068000004;0,079800002;0,081299998;0,073700003;0,062600002;0,060400002;0,059700001;0,060600001;0,055599999;0,050500002;522
0,071800001;0,071199998;0,074900001;0,068000004;0,0713;0,069300003;0,080799997;0,082500003;0,074900001;0,062899999;0,060600001;0,059900001;0,0601;0,055199999;0,0502;524
0,072899997;0,072300002;0,075900003;0,069200002;0,072999999;0,071000002;0,081900001;0,083999999;0,076099999;0,063500002;0,061099999;0,060400002;0,0603;0,055300001;0,050299998;526
0,073899999;0,073299997;0,077200003;0,070299998;0,0744;0,072300002;0,082999997;0,084799998;0,077200003;0,064000003;0,0616;0,060800001;0,060199998;0,055300001;0,0504;528
0,075199999;0,074699998;0,078699999;0,071699999;0,076399997;0,074100003;0,084200002;0,086199999;0,078599997;0,064599998;0,062100001;0,0612;0,059900001;0,054900002;0,0502;530
0,075999998;0,075499997;0,079700001;0,072400004;0,077399999;0,075199999;0,085199997;0,086900003;0,079400003;0,064999998;0,062600002;0,061500002;0,059799999;0,054900002;0,050299998;532
0,077200003;0,0766;0,081100002;0,073600002;0,079000004;0,0766;0,086499996;0,087899998;0,080600001;0,0656;0,063100003;0,061900001;0,059700001;0,054699998;0,0502;534
0,078000002;0,077399999;0,081900001;0,0744;0,080300003;0,077799998;0,087099999;0,089000002;0,081500001;0,065899998;0,0634;0,062199999;0,059500001;0,054499999;0,050099999;536
0,0788;0,078199998;0,082699999;0,075099997;0,0814;0,078900002;0,087800004;0,090099998;0,082400002;0,066200003;0,063699998;0,062399998;0,0594;0,054299999;0,050000001;538
0,079800002;0,0792;0,083800003;0,076099999;0,082900003;0,080300003;0,088799998;0,091200002;0,0836;0,066600002;0,064199999;0,062799998;0,0592;0,054099999;0,049800001;540
0,080399998;0,079700001;0,0845;0,0766;0,083700001;0,081100002;0,089400001;0,091700003;0,084200002;0,0669;0,064499997;0,063000001;0,059099998;0,054000001;0,049800001;542
0,080700003;0,079999998;0,084799998;0,076899998;0,084200002;0,081500001;0,089599997;0,092100002;0,0845;0,0669;0,064599998;0,063100003;0,059;0,053800002;0,049699999;544
0,081200004;0,080499999;0,0854;0,077299997;0,084899999;0,082199998;0,0902;0,092299998;0,085000001;0,067199998;0,064900003;0,063299999;0,058899999;0,0537;0,049699999;546
0,081600003;0,080899999;0,085900001;0,077699997;0,085600004;0,082900003;0,090599999;0,093000002;0,085600004;0,067400001;0,065300003;0,063500002;0,058800001;0,053599998;0,049600001;548
0,081600003;0,080799997;0,085699998;0,077600002;0,085600004;0,082900003;0,090499997;0,093099996;0,085600004;0,067299999;0,065200001;0,063500002;0,058699999;0,053399999;0,049400002;550
0,081699997;0,080799997;0,085900001;0,077600002;0,085699998;0,082999997;0,090599999;0,093099996;0,085699998;0,067299999;0,065399997;0,063600004;0,058699999;0,053399999;0,0495;552
0,081500001;0,080499999;0,0854;0,077200003;0,085299999;0,082699999;0,0902;0,093000002;0,085500002;0,067100003;0,065300003;0,063500002;0,058699999;0,053300001;0,049400002;554
0,081299998;0,080399998;0,085199997;0,077;0,085199997;0,082599998;0,090000004;0,092799999;0,0854;0,067100003;0,065300003;0,063500002;0,058600001;0,053300001;0,049400002;556
0,080899999;0,079899997;0,084700003;0,076399997;0,084600002;0,082000002;0,089500003;0,092299998;0,084899999;0,066799998;0,065099999;0,063299999;0,058600001;0,053199999;0,0493;558
0,080499999;0,079400003;0,084200002;0,075900003;0,083999999;0,081500001;0,089000002;0,091899998;0,084399998;0,066500001;0,064900003;0,063199997;0,058499999;0,053100001;0,0493;560
